card_id	reviews	notes_id	character
1566139448484	63	1566139428993	掌
1572468737710	59	1572468717155	谦
1565813705401	56	1565813675813	屋
1569527121850	55	1569527099842	际
1554630519396	54	1554630392587	着
1576696106086	54	1576696097161	惯
1569027960701	53	1569027956387	乎
1572468392725	53	1572468380430	洋
1566138759675	52	1566138730013	级
1570103317938	52	1570103315512	锁
1572468463509	52	1572468451065	牌
1572469014422	52	1572469009959	酱
1552939891397	51	1552939691683	念
1570191747269	51	1570191744121	演
1566138079896	50	1566138063678	绩
1569027789148	49	1569027785289	检
1558986107530	48	1558986021869	旨
1579367620861	47	1579367276609	资
1562816957976	46	1562816525800	序
1563697374984	46	1563697345541	确
1554628510372	44	1554628225147	棵
1562746322202	44	1562745384577	戚
1563696394850	44	1563696362929	使
1566139767497	44	1566139750064	喊
1568439281908	44	1568439279233	软
1572468527821	44	1572468519408	概
1566138135444	43	1566138114371	团
1572468680147	43	1572468668064	悄
1572980603030	43	1572980597119	墙
1566139553453	42	1566139535446	复
1569046162437	42	1569046110871	印
1571068959383	42	1571068949210	款
1572413701547	42	1572412962626	趟
1578152350218	42	1578152273586	NA
1550920173196	41	1550920167254	地
1562656774934	41	1562656406156	收
1563698726139	41	1563698685178	毛
1571634716512	41	1571634704379	冈 (NP)
1576425112253	41	1576425108461	摔
1563697475111	40	1563697444867	炎
1566137497514	40	1566137481760	嗽
1568945532922	40	1568945529342	专
1569028022640	40	1569028018786	绍
1572767696567	40	1572767692138	既
1552938772813	39	1552938674976	理
1561371285292	39	1561371252754	访
1563696496736	39	1563696477509	央
1563698555613	39	1563698534713	祖
1566139143888	39	1566139122331	结
1566140527187	39	1566140514564	继
1567926032181	39	1567926029815	窗
1574624804734	39	1574624789708	瞎
1577021567157	39	1577021405223	申
1556369554356	38	1556369465063	俩
1558986451881	38	1558986403454	论
1563698345914	38	1563698322534	初
1566137754197	38	1566137736974	处
1568954736994	38	1568954734133	秒
1569165054336	38	1569165045466	失
1569527349519	38	1569527317374	拳
1572468434509	38	1572468420102	炊
1578152017194	38	1578151945296	NA
1579362404400	38	1579362057287	销
1550920161146	37	1550920147983	友
1561372913739	37	1561372893675	排
1565813726942	37	1565813705416	握
1566140151055	37	1566140130267	厄 (inner part, no story)
1568136225786	37	1568136207030	拐
1572468495467	37	1572468488230	授
1576939960487	37	1576939560477	续
1578251230949	37	1578251066800	卧
1580590082309	37	1580590047884	偶
1556370110829	36	1556370016003	切
1558986676694	36	1558986601783	识
1566140611522	36	1566140595165	亦 (no pronounce)
1567926091369	36	1567926088911	吵
1568021055530	36	1568021053030	紧
1568021282250	36	1568021280146	充
1572468420073	36	1572468403599	傅
1574947732500	36	1574947728391	歉
1576948096972	36	1576948011792	训
1577304603687	36	1577304111039	圈
1579084395023	36	1579084392319	乖
1552220837950	35	1552220789115	利
1554629863551	35	1554629700736	还
1556368884304	35	1556368857445	入
1565813600509	35	1565813574295	数
1566138010184	35	1566137995090	庄 (NP)
1570044701185	35	1570044689678	健
1574919265117	35	1574919262063	巩
1552215310430	34	1552214805326	得
1563697658079	34	1563697639043	态
1565813929144	34	1565813910079	搞
1567925976919	34	1567925974569	馅
1569022498409	34	1569022495853	引
1569027591678	34	1569027588682	址
1570177194081	34	1570177190702	功
1572008597330	34	1572008594308	甫 (NP)
1577301166870	34	1577301159060	甚
