id	card_id	usn	ease	ivl	lastIvl	factor	time	type	character	duration	nbr
1550758631903	1550758191566	1	3	3	-60	2500	3955	0	我	6.944444444444445e-4	1
1550995525326	1550758191566	1	3	9	3	2500	6458	1	我	3	2
1551017691033	1550758191566	2	2	9	-600	2500	7125	3	我	0.006944444444444444	3
1551617645256	1550758191566	11	2	12	-600	2500	15048	3	我	0.006944444444444444	4
1552684243419	1550758191566	17	4	42	12	2650	3079	1	我	12	5
1556307842112	1550758191566	47	4	170	42	2800	6762	1	我	42	6
1570942266372	1550758191566	216	4	687	170	2950	4525	1	我	170	7
1550758627941	1550758433382	1	3	5	-60	2500	5027	0	你	6.944444444444445e-4	1
1550999478387	1550758433382	1	2	5	-600	2500	42046	3	你	0.006944444444444444	2
1551017501376	1550758433382	2	2	5	-600	2500	4717	3	你	0.006944444444444444	3
1551541423990	1550758433382	2	3	11	5	2500	9989	1	你	5	4
1552478706975	1550758433382	17	4	37	11	2650	7290	1	你	11	5
1555689081984	1550758433382	47	4	152	37	2800	2573	1	你	37	6
1568808760738	1550758433382	139	4	631	152	2950	5847	1	你	152	7
1550758613381	1550758480530	1	3	5	-60	2500	9706	0	一	6.944444444444445e-4	1
1550999497687	1550758480530	1	2	5	-600	2500	5658	3	一	0.006944444444444444	2
1551017836472	1550758480530	2	2	5	-600	2500	2497	3	一	0.006944444444444444	3
1551541841820	1550758480530	2	4	21	5	2650	3277	1	一	5	4
1553325217518	1550758480530	24	4	87	21	2800	4172	1	一	21	5
1560847905513	1550758480530	73	4	370	87	2950	6233	1	一	87	6
1550758622907	1550758537559	1	3	3	-60	2500	9518	0	二	6.944444444444445e-4	1
1550997719472	1550758537559	1	4	12	3	2650	6589	1	二	3	2
1551017978731	1550758537559	2	2	12	-600	2650	4687	3	二	0.006944444444444444	3
1551618117009	1550758537559	11	2	13	-600	2650	4991	3	二	0.006944444444444444	4
1552816969017	1550758537559	17	4	59	13	2800	7849	1	二	13	5
1557912150641	1550758537559	53	4	249	59	2950	4426	1	二	59	6
1579330486785	1550758537559	250	3	747	249	2950	8222	1	二	249	7
1550758635013	1550758600254	1	3	4	-60	2500	3091	0	三	6.944444444444445e-4	1
1550999313569	1550758600254	1	2	5	-600	2500	19285	3	三	0.006944444444444444	2
1551018328341	1550758600254	2	2	5	-600	2500	10851	3	三	0.006944444444444444	3
1551541838529	1550758600254	2	4	20	5	2650	3559	1	三	5	4
1553291681387	1550758600254	23	4	81	20	2800	5144	1	三	20	5
1560271303496	1550758600254	68	4	349	81	2950	4717	1	三	81	6
1550832057774	1550765063134	1	3	5	-60	2500	24856	0	小	6.944444444444445e-4	1
1550999640257	1550765063134	1	2	5	-600	2500	45215	3	小	0.006944444444444444	2
1551017496652	1550765063134	2	2	5	-600	2500	10727	3	小	0.006944444444444444	3
1551541945129	1550765063134	2	3	12	5	2500	4500	1	小	5	4
1552734224091	1550765063134	17	3	36	12	2500	9475	1	小	12	5
1555859421470	1550765063134	47	4	133	36	2650	6825	1	小	36	6
1567315683784	1550765063134	123	4	535	133	2800	4438	1	小	133	7
1550832032912	1550765217019	1	1	-60	-60	0	15792	0	四	6.944444444444445e-4	1
1550832070118	1550765217019	1	3	3	-60	2500	3061	0	四	6.944444444444445e-4	2
1550999354287	1550765217019	1	2	3	-600	2500	15694	3	四	0.006944444444444444	3
1551017695694	1550765217019	2	2	3	-600	2500	4651	3	四	0.006944444444444444	4
1551247860558	1550765217019	2	4	9	3	2650	2601	1	四	3	5
1551618130345	1550765217019	11	2	9	-600	2650	13325	3	四	0.006944444444444444	6
1552427012102	1550765217019	17	4	34	9	2800	7589	1	四	9	7
1555348860953	1550765217019	47	4	143	34	2950	7756	1	四	34	8
1567659981089	1550765217019	132	3	431	143	2950	18358	1	四	143	9
1550832017110	1550765291110	1	3	3	-60	2500	13458	0	十	6.944444444444445e-4	1
1550999393833	1550765291110	1	2	3	-600	2500	3019	3	十	0.006944444444444444	2
1551017893933	1550765291110	2	2	3	-600	2500	5835	3	十	0.006944444444444444	3
1551247941901	1550765291110	2	4	9	3	2650	2941	1	十	3	4
1551618135221	1550765291110	11	2	9	-600	2650	4869	3	十	0.006944444444444444	5
1552426767217	1550765291110	17	4	39	9	2800	6094	1	十	9	6
1555759263238	1550765291110	47	4	163	39	2950	5322	1	十	39	7
1569738599874	1550765291110	216	3	472	163	2950	10527	1	十	163	8
1550832067051	1550765343854	1	3	5	-60	2500	9271	0	儿	6.944444444444445e-4	1
1550999737232	1550765343854	1	2	5	-600	2500	4309	3	儿	0.006944444444444444	2
1551017803276	1550765343854	2	2	5	-600	2500	9384	3	儿	0.006944444444444444	3
1551541783000	1550765343854	2	1	-600	5	2300	27716	1	儿	5	4
1551542028434	1550765343854	2	2	1	-600	2300	3555	2	儿	0.006944444444444444	5
1551611472573	1550765343854	9	3	2	1	2300	4157	1	儿	1	6
1551617652294	1550765343854	11	2	2	-600	2300	7029	3	儿	0.006944444444444444	7
1551628633717	1550765343854	11	2	2	-600	2300	4046	3	儿	0.006944444444444444	8
1551713855304	1550765343854	11	2	2	-600	2300	7025	3	儿	0.006944444444444444	9
1551907932412	1550765343854	11	4	7	2	2450	3003	1	儿	2	10
1552478740472	1550765343854	17	4	25	7	2600	5058	1	儿	7	11
1554631808097	1550765343854	35	4	97	25	2750	10295	1	儿	25	12
1562991458758	1550765343854	88	3	260	97	2750	8510	1	儿	97	13
1585388104752	1550765343854	462	3	743	260	2750	5223	1	儿	260	14
1551017674353	1550918439123	2	3	4	-60	2500	5638	0	口	6.944444444444445e-4	1
1551541927987	1550918439123	2	3	12	4	2500	9397	1	口	4	2
1552552905354	1550918439123	17	3	29	12	2500	9886	1	口	12	3
1555093742495	1550918439123	38	4	113	29	2650	10018	1	口	29	4
1564809442859	1550918439123	95	4	444	113	2800	5361	1	口	113	5
1551017753588	1550918468165	2	3	5	-60	2500	2945	0	日	6.944444444444445e-4	1
1551541586475	1550918468165	2	4	24	5	2650	4355	1	日	5	2
1553621713884	1550918468165	24	4	99	24	2800	4532	1	日	24	3
1562121976697	1550918468165	85	3	290	99	2800	8513	1	日	99	4
1587099361706	1550918468165	533	4	1252	290	2950	5948	1	日	290	5
1551018260131	1550918501601	2	3	5	-60	2500	15962	0	几	6.944444444444445e-4	1
1551541477329	1550918501601	2	3	14	5	2500	12792	1	几	5	2
1552817087849	1550918501601	17	1	-600	14	2300	8434	1	几	14	3
1552817707976	1550918501601	17	2	1	-600	2300	4277	2	几	0.006944444444444444	4
1552937082484	1550918501601	17	1	-600	1	2100	8138	1	几	1	5
1552937585391	1550918501601	17	2	1	-600	2100	3871	2	几	0.006944444444444444	6
1553024135405	1550918501601	23	4	3	1	2250	4065	1	几	1	7
1553289473184	1550918501601	23	4	8	3	2400	6585	1	几	3	8
1553970068658	1550918501601	24	4	31	8	2550	5875	1	几	8	9
1556643859493	1550918501601	53	4	123	31	2700	5482	1	几	31	10
1567232654547	1550918501601	123	4	477	123	2850	10693	1	几	123	11
1551018048916	1550918597397	2	3	4	-60	2500	4003	0	机	6.944444444444445e-4	1
1551541940618	1550918597397	2	3	13	4	2500	5857	1	机	4	2
1552734214602	1550918597397	17	4	51	13	2650	9716	1	机	13	3
1557143597552	1550918597397	53	3	131	51	2650	21894	1	机	51	4
1568432805598	1550918597397	138	4	519	131	2800	5891	1	机	131	5
1551017551428	1550918662087	2	3	3	-60	2500	11266	0	杯	6.944444444444445e-4	1
1551247938952	1550918662087	2	4	10	3	2650	5810	1	杯	3	2
1551618225249	1550918662087	11	2	10	-600	2650	10407	3	杯	0.006944444444444444	3
1552478861336	1550918662087	17	4	37	10	2800	10019	1	杯	10	4
